Instance BestMTZ DualeMTZ TimeMTZ BestCUT DualeCUT NbLazy NbUser TimeCUT
br17 39 39 0.613891 39 39 29 4 0.0234449 
ftv33 1286 1286 0.4077 1286 1286 36 20 0.103589 
ftv35 1473 1473 0.753929 1473 1473 113 48 0.253694 
ftv38 1530 1530 0.810305 1530 1530 45 30 0.162243 
ftv44 1613 1613 2.53161 1613 1613 135 136 0.526297 
ftv47 1776 1776 4.48251 1776 1776 142 113 0.604192 
ftv55 1608 1608 1.16092 1608 1608 34 42 0.302625 
ftv64 1839 1839 5.70366 1839 1839 69 138 0.920198 
ftv70 1950 1950 9.01343 1950 1950 308 544 8.45754 
ftv170 2755 2755 17.8978 2755 2755 894 2664 432.504 
